round,acc,loss,Fw_norm
266,64.04,166.18399262428284,4.059552192687988
267,63.75,175.18437296152115,3.8495795726776123
268,64.33,165.31065452098846,4.424832820892334
269,64.38,163.0945959687233,3.9509129524230957
270,64.52,164.3956999182701,3.7330286502838135
271,63.44,180.14112931489944,3.757402181625366
272,65.28,159.50786903500557,5.023171424865723
273,65.03,163.37091088294983,3.6918368339538574
274,63.14,178.06601333618164,3.561615467071533
275,63.14,177.150200009346,4.595662593841553
276,64.73,171.70497125387192,4.75653600692749
277,64.23,171.89821767807007,4.1987833976745605
278,64.16,170.172017455101,4.287487030029297
279,64.47,166.67691391706467,4.20047664642334
280,64.19,170.61359131336212,3.9079277515411377
281,64.35,165.46764010190964,4.051384925842285
282,64.77,166.046566426754,3.7492711544036865
283,64.76,167.9160571694374,3.6045944690704346
284,64.46,174.36474043130875,3.698780059814453
285,65.26,172.95905762910843,4.6285223960876465
286,63.35,178.28223770856857,4.271173477172852
287,64.43,169.78787982463837,5.285550117492676
288,64.53,167.34059864282608,3.9960720539093018
289,64.06,175.49014830589294,3.7339437007904053
290,63.98,170.83371526002884,4.572490215301514
291,63.96,174.8381945490837,3.8939552307128906
292,64.17,182.14649546146393,4.124558448791504
293,64.55,172.4438756108284,4.579680442810059
294,64.35,175.97136068344116,4.026823997497559
295,65.33,167.30466675758362,4.46195650100708
296,65.28,167.21460956335068,3.665144205093384
297,65.62,161.87387889623642,3.7927603721618652
298,64.58,166.3431198000908,3.3733315467834473
299,64.9,169.75963139533997,3.542332172393799
300,65.51,171.8469969034195,3.9008734226226807
301,65.78,161.37351781129837,4.384448528289795
302,65.22,162.058712631464,3.502802610397339
303,64.25,177.51514786481857,3.728889226913452
304,64.5,172.57485169172287,4.5063090324401855
305,65.37,170.5983572602272,3.8803842067718506
306,64.85,172.58148926496506,4.132548809051514
307,64.15,175.51388835906982,4.0678510665893555
308,65.23,169.47032183408737,4.498565673828125
309,65.51,166.88179647922516,4.104193210601807
310,64.08,178.62549775838852,3.726193428039551
311,63.91,181.35641473531723,4.700094699859619
312,64.76,174.73165559768677,4.907532691955566
313,65.22,176.6351375579834,4.2135210037231445
314,65.0,168.22273910045624,4.1228837966918945
315,64.68,177.08556193113327,3.869795322418213
316,65.43,170.07827043533325,4.32252311706543
317,65.31,167.10896092653275,4.059317588806152
318,65.04,175.7238810658455,3.722320318222046
319,65.47,171.86094319820404,4.350967884063721
320,65.05,174.19831430912018,4.153251647949219
321,64.74,173.0339481830597,4.230803966522217
322,64.93,173.03923350572586,3.9988698959350586
323,64.61,181.5320007801056,4.16176700592041
324,65.63,168.6390858590603,4.786045074462891
325,65.22,170.52510285377502,3.8235275745391846
326,65.77,165.3905834853649,4.084659576416016
327,65.31,170.24855601787567,3.7170357704162598
328,65.26,172.8575564622879,3.981778621673584
329,65.89,166.1818068921566,4.282332897186279
330,65.92,169.17786672711372,3.6265406608581543
331,65.36,173.05318278074265,3.933281660079956
332,65.42,175.78391057252884,4.22438907623291
333,65.9,167.39553862810135,4.401840686798096
334,66.68,162.7101449072361,3.5687127113342285
335,65.8,172.0808024406433,3.6894023418426514
336,65.33,179.9267805814743,4.302937030792236
337,64.81,174.4270635843277,4.508991241455078
338,65.47,173.08933502435684,3.8611345291137695
339,65.22,176.50276374816895,4.044390678405762
340,65.7,175.5577799975872,4.401488780975342
341,66.37,172.76238650083542,4.212087631225586
342,65.09,178.2800835967064,4.329613208770752
343,66.38,165.16882407665253,4.895502090454102
344,65.53,175.050590634346,3.5425384044647217
345,65.27,179.4849351644516,4.05293607711792
346,65.32,175.57355031371117,4.352753639221191
347,66.27,170.94718044996262,4.542731761932373
348,65.75,176.26802337169647,3.6664090156555176
349,65.43,176.93366912007332,4.395042896270752
350,65.83,176.72650983929634,4.013591289520264
351,64.86,181.54668766260147,4.086435317993164
352,66.87,168.65005564689636,5.352504730224609
353,66.83,166.7608318924904,3.6628899574279785
354,66.02,171.21786293387413,3.627875804901123
355,67.3,163.31994554400444,4.15142297744751
356,65.61,176.21804416179657,3.0800669193267822
357,65.99,180.42578279972076,4.537173271179199
358,66.41,176.75630366802216,4.472801685333252
359,66.6,170.37310460209846,4.085875034332275
360,66.03,176.349727332592,3.712324619293213
361,66.0,170.050899207592,4.179791450500488
362,65.76,176.67052149772644,3.6549007892608643
363,66.38,171.53139027953148,4.1579389572143555
364,66.34,171.62126514315605,3.9500179290771484
365,66.88,168.52384635806084,3.951881170272827
366,66.16,172.60577988624573,3.6185996532440186
367,66.08,170.7429205775261,4.297434329986572
368,66.92,170.5192347764969,4.187596797943115
369,66.99,167.28973579406738,3.9994618892669678
370,66.46,176.72955977916718,3.5834970474243164
371,67.87,163.22542196512222,4.496335983276367
372,66.55,174.88116478919983,3.2685928344726562
373,66.68,166.84431931376457,4.481780529022217
374,66.41,172.0203123986721,3.833388328552246
375,67.05,166.25607603788376,4.121786117553711
376,68.39,161.62578573822975,3.174048900604248
377,66.68,170.0164129137993,3.443692922592163
378,66.64,171.4410775601864,4.257011890411377
379,67.07,172.49587178230286,3.9120259284973145
380,66.74,170.55897587537766,4.299229145050049
381,65.89,176.02459135651588,3.939626932144165
382,65.68,178.51470279693604,3.8837597370147705
383,66.56,167.54828330874443,4.526453971862793
384,67.33,162.75147849321365,3.553138256072998
385,67.55,169.37375670671463,3.3300294876098633
386,66.24,176.13033884763718,3.7985999584198
387,65.9,177.317606985569,4.2994489669799805
388,67.23,168.1562677025795,4.588493347167969
389,67.0,169.2494567334652,3.5746207237243652
390,66.48,167.4959981739521,3.5628881454467773
391,66.21,174.0167500078678,3.8747541904449463
392,67.15,175.19952487945557,4.08579683303833
393,65.61,193.55565375089645,4.126303195953369
394,66.69,181.0888625383377,5.10870361328125
395,67.39,171.52419856190681,4.306245803833008
396,66.6,175.94154706597328,3.2435500621795654
397,66.37,179.55371630191803,4.117258548736572
398,66.28,180.25901094079018,4.542136192321777
399,66.85,171.94266721606255,4.498727321624756
400,66.79,171.31709164381027,3.67293381690979
401,67.73,167.9893229007721,3.739691972732544
402,66.83,172.37428331375122,3.4304511547088623
403,66.59,177.7761876285076,3.491208076477051
404,67.9,167.66060239076614,4.258914947509766
405,67.61,169.1535029411316,3.0875580310821533
406,66.85,169.29734340310097,3.273580312728882
407,66.51,173.59245720505714,3.689702033996582
408,67.14,170.27391263842583,3.9383444786071777
409,66.65,174.24731528759003,3.678269386291504
410,67.09,177.90315413475037,3.805131673812866
411,67.3,171.6624641418457,4.179305553436279
412,67.8,167.01784867048264,3.6553900241851807
413,66.42,175.99758160114288,3.0939204692840576
414,66.68,173.41775533556938,4.142790794372559
415,66.59,184.69268772006035,3.7777512073516846
416,67.1,174.17448711395264,4.5452985763549805
417,66.52,187.36857467889786,4.018497943878174
418,66.22,179.53617322444916,4.901029586791992
419,66.46,176.32879382371902,4.157851219177246
420,66.47,180.89554697275162,3.9042866230010986
421,67.05,172.2497533261776,4.232911109924316
422,67.0,175.95650833845139,3.8163161277770996
423,66.73,176.87196350097656,4.30536413192749
424,65.89,189.65352946519852,4.718445777893066
425,69.16,166.747345328331,5.114593029022217
426,69.44,170.94959485530853,3.2877180576324463
427,66.73,190.38772428035736,3.8403213024139404
428,68.19,166.94985339045525,5.212766170501709
429,67.82,171.1291025876999,3.1643757820129395
430,67.51,174.08492797613144,3.1728029251098633
431,67.37,170.7486682832241,3.764878511428833
432,66.79,174.64784747362137,3.2494418621063232
433,67.61,171.21446949243546,4.034924507141113
434,67.12,178.6602322459221,3.8072562217712402
435,67.56,173.165378510952,4.398532390594482
436,67.23,177.18529865145683,3.8338992595672607
437,67.28,172.25680121779442,4.529618263244629
438,66.87,182.6602858901024,3.829775094985962
439,66.97,179.01403325796127,5.100933074951172
440,67.81,171.55384302139282,4.260490894317627
441,67.53,172.56181913614273,3.5171377658843994
442,67.46,177.70227533578873,3.7232325077056885
443,68.4,164.73385509848595,3.970442533493042
444,69.73,164.69411742687225,3.0539772510528564
445,67.37,179.63219913840294,2.9344444274902344
446,67.27,179.89954268932343,4.519830226898193
447,68.08,171.67552110552788,4.070664882659912
448,67.53,179.386612534523,3.238783359527588
449,68.06,170.55551525950432,4.252213001251221
450,68.53,164.9388950765133,3.0954294204711914
451,67.1,182.30263721942902,2.715878486633301
452,68.28,168.58231204748154,4.2600226402282715
453,66.85,188.70819509029388,3.3913350105285645
454,69.37,168.32336726784706,4.495737075805664
455,67.66,181.36962926387787,3.009916067123413
456,67.19,179.20477932691574,4.731689929962158
457,68.13,170.46286725997925,3.968543291091919
458,67.62,177.3370344042778,3.276566982269287
459,67.43,172.95129418373108,4.023951053619385
460,67.77,173.83635276556015,3.826979160308838
461,67.94,172.74189567565918,4.074171543121338
462,67.29,179.16789174079895,3.8865392208099365
463,67.05,175.69470489025116,4.531155109405518
464,67.31,181.84990179538727,3.7057442665100098
465,67.56,172.97389569878578,4.359461784362793
466,70.56,169.18145072460175,3.6813855171203613
467,68.49,166.7104771733284,3.643726110458374
468,69.04,160.5822904407978,2.983887195587158
469,67.24,175.66867768764496,2.5979437828063965
470,67.64,176.4094874560833,3.7692127227783203
471,67.17,174.20577263832092,3.6085896492004395
472,67.34,180.65723538398743,3.705477476119995
473,67.95,169.6416835784912,4.515117168426514
474,68.2,168.40899589657784,3.309422016143799
475,66.99,182.7262498140335,3.0479049682617188
476,68.06,169.8914587199688,4.3917555809021
477,67.02,175.61677193641663,3.343895673751831
478,67.13,179.05720007419586,3.974320411682129
479,67.69,172.64498901367188,4.170677185058594
480,67.79,173.5918571650982,3.3808186054229736
481,67.93,169.2667905986309,3.855936288833618
482,67.93,165.97975811362267,3.6120200157165527
483,68.14,167.5559847354889,3.0264625549316406
484,64.33,235.57177823781967,3.0804667472839355
485,67.93,175.18089973926544,7.496197700500488
486,68.79,165.34356907010078,4.103714466094971
